image_id,species_id,common_name,scientific_name,filename,commons_title,license,license_url,artist,credit,source_url,thumb_url,file_size_bytes
41,1,Kakapo,Strigops habroptilus,kakapo_2f7a7c.jpg,File:Kakapo Sirocco 1.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Department of Conservation,Kakapo Sirocco,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b1/Kakapo_Sirocco_1.jpg/500px-Kakapo_Sirocco_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,62103
42,1,Kakapo,Strigops habroptilus,kakapo_e3259d.jpg,File:Ma - Strigops habroptilus - 6.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Emőke Dénes,kindly granted by the author,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7c/Ma_-_Strigops_habroptilus_-_6.jpg/500px-Ma_-_Strigops_habroptilus_-_6.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,51014
43,2,Kea,Nestor notabilis,kea_2d5851.jpg,File:Kea in Flight MC.jpg,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,"Christian Mehlführer, User:Chmehl",Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/97/Kea_in_Flight_MC.jpg/500px-Kea_in_Flight_MC.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,53801
44,2,Kea,Nestor notabilis,kea_4fee5f.jpg,"File:Nestor notabilis -Fiordland, New Zealand-8b.jpg",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Mark Whatmough,"Milford Sound, Key Summit, The Divide, Queenstown",,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/34/Nestor_notabilis_-Fiordland%2C_New_Zealand-8b.jpg/500px-Nestor_notabilis_-Fiordland%2C_New_Zealand-8b.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,52067
45,3,North Island Brown Kiwi,Apteryx mantelli,north_island_brown_kiwi_74c04c.jpg,"File:Apteryx mantelli -Rotorua, North Island, New Zealand-8a.jpg",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,The.Rohit,"Elusive KiwiUploaded by Snowmanradio",,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/Apteryx_mantelli_-Rotorua%2C_North_Island%2C_New_Zealand-8a.jpg/500px-Apteryx_mantelli_-Rotorua%2C_North_Island%2C_New_Zealand-8a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,67155
46,3,North Island Brown Kiwi,Apteryx mantelli,north_island_brown_kiwi_7557e0.jpg,File:Apteryx mantelli 106965242.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Peter de Lange,https://www.inaturalist.org/photos/106965242,,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/Apteryx_mantelli_106965242.jpg/500px-Apteryx_mantelli_106965242.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,85354
47,4,Yellow-eyed Penguin,Megadyptes antipodes,yellow_eyed_penguin_1c6c8b.jpg,File:Pingüino de ojo amarillo (Megadyptes antipodes).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Krzysztof Belczyński,https://www.flickr.com/photos/x-oph/2187435279/,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/Ping%C3%BCino_de_ojo_amarillo_%28Megadyptes_antipodes%29.jpg/500px-Ping%C3%BCino_de_ojo_amarillo_%28Megadyptes_antipodes%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,32151
48,4,Yellow-eyed Penguin,Megadyptes antipodes,yellow_eyed_penguin_0248a6.jpg,File:Yellow-eyed Penguin (Megadyptes antipodes).jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Ville Miettinen from Helsinki, Finland",World's rarest penguin,,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/61/Yellow-eyed_Penguin_%28Megadyptes_antipodes%29.jpg/500px-Yellow-eyed_Penguin_%28Megadyptes_antipodes%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,76525
49,5,Takahe,Porphyrio hochstetteri,takahe_dcda6b.jpg,File:Porphyrio hochstetteri.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Basar,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/Porphyrio_hochstetteri.jpg/500px-Porphyrio_hochstetteri.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,84632
50,5,Takahe,Porphyrio hochstetteri,takahe_905b54.jpg,File:Porphyrio hochstetteri -Tiritiri Matangi Island-8b-3c.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Porphyrio_hochstetteri_-Tiritiri_Matangi_Island-8b.jpg: Ashleigh Thompson
derivative work: Snowmanradio (talk)",originally posted to flickr as Takahae and uploaded to commons as Porphyrio_hochstetteri_-Tiritiri_Matangi_Island-8b.jpg,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/74/Porphyrio_hochstetteri_-Tiritiri_Matangi_Island-8b-3c.jpg/500px-Porphyrio_hochstetteri_-Tiritiri_Matangi_Island-8b-3c.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,104123
51,6,New Zealand Falcon,Falco novaeseelandiae,new_zealand_falcon_f458fe.jpg,File:Falco novaeseelandiae 01.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Σ64,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/Falco_novaeseelandiae_01.jpg/500px-Falco_novaeseelandiae_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,100985
52,6,New Zealand Falcon,Falco novaeseelandiae,new_zealand_falcon_9e4f2b.jpg,File:Falco novaeseelandiae 1256723.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,John Barkla,https://www.inaturalist.org/photos/1256723,,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a7/Falco_novaeseelandiae_1256723.jpg/500px-Falco_novaeseelandiae_1256723.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,56914
53,7,Pukeko,Porphyrio melanotus,pukeko_b38314.jpg,File:Australasian Swamphen - AndrewMercer IMG05039.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Andrew Mercer (www.baldwhiteguy.co.nz),Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/Australasian_Swamphen_-_AndrewMercer_IMG05039.jpg/500px-Australasian_Swamphen_-_AndrewMercer_IMG05039.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,44213
54,7,Pukeko,Porphyrio melanotus,pukeko_74f7c9.jpg,File:Australasian swamphen (Porphyrio melanotus) Tiritiri Matangi.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Charles J. Sharp,"Own work, from Sharp Photography, sharpphotography.co.uk",,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/Australasian_swamphen_%28Porphyrio_melanotus%29_Tiritiri_Matangi.jpg/500px-Australasian_swamphen_%28Porphyrio_melanotus%29_Tiritiri_Matangi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,42035
55,8,Hector's Dolphin,Cephalorhynchus hectori,hector_s_dolphin_1ffd8c.jpg,File:Cephalorhynchus hectori 358055594.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Julien Renoult,https://www.inaturalist.org/photos/358055594,,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e2/Cephalorhynchus_hectori_358055594.jpg/500px-Cephalorhynchus_hectori_358055594.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,22048
56,8,Hector's Dolphin,Cephalorhynchus hectori,hector_s_dolphin_c6e6f9.jpg,File:Cephalorhynchus hectori 358056213.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Julien Renoult,https://www.inaturalist.org/photos/358056213,,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/Cephalorhynchus_hectori_358056213.jpg/500px-Cephalorhynchus_hectori_358056213.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,44484
57,9,Maui Dolphin,Cephalorhynchus hectori maui,maui_dolphin_5aba4e.jpg,File:Hector's Dolphins at Porpoise Bay 1999 a cropped.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Avenue,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Hector%27s_Dolphins_at_Porpoise_Bay_1999_a_cropped.jpg/500px-Hector%27s_Dolphins_at_Porpoise_Bay_1999_a_cropped.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,25810
58,9,Maui Dolphin,Cephalorhynchus hectori maui,maui_dolphin_b86ef7.jpg,File:Hectors delfin.jpg,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/Hectors_delfin.jpg/500px-Hectors_delfin.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,28741
59,10,Long-tailed Bat,Chalinolobus tuberculatus,long_tailed_bat_72df7e.jpg,File:Chalinolobus tuberculatus (AM LM470).jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,,"API data
Catalogue recordPhoto",,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Chalinolobus_tuberculatus_%28AM_LM470%29.jpg/500px-Chalinolobus_tuberculatus_%28AM_LM470%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,41825
60,10,Long-tailed Bat,Chalinolobus tuberculatus,long_tailed_bat_a09e3d.jpg,File:Chalinolobus tuberculatus (AM LM471).jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,,"API data
Catalogue recordPhoto",,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/Chalinolobus_tuberculatus_%28AM_LM471%29.jpg/500px-Chalinolobus_tuberculatus_%28AM_LM471%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,40373
61,11,Short-tailed Bat,Mystacina tuberculata,short_tailed_bat_73f20d.jpg,File:Bat flies on short tailed bat in Fiordland photo by Bex Jackson-Department of Conservation.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Bex Jackson/Department of Conservation,https://blog.doc.govt.nz/2020/02/25/fiordland-bat-diaries-bat-flies/,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/Bat_flies_on_short_tailed_bat_in_Fiordland_photo_by_Bex_Jackson-Department_of_Conservation.jpg/500px-Bat_flies_on_short_tailed_bat_in_Fiordland_photo_by_Bex_Jackson-Department_of_Conservation.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,129074
62,11,Short-tailed Bat,Mystacina tuberculata,short_tailed_bat_99a6d2.jpg,File:MystacinaTuberculataFord.jpg,Public domain,,GH Ford,Proceedings of the Zoological Society of London 1857 (web),,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/MystacinaTuberculataFord.jpg/500px-MystacinaTuberculataFord.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,26593
